soc_id,EA033,EA066,EA030,EA028,EA039,complexity_score
Ee6,3.0,2.0,3.0,5.0,3.0,1.7063587066529375
Ee8,4.0,5.0,6.0,6.0,3.0,3.8822099441312385
Ef1,2.0,1.0,7.0,6.0,3.0,1.8816959537809823
Ef11,5.0,4.0,8.0,6.0,3.0,4.328895087792195
Ef2,5.0,5.0,7.0,6.0,3.0,4.486332831107945
Ef5,2.0,5.0,5.0,5.0,3.0,2.54965250842652
Ef7,5.0,5.0,7.0,5.0,3.0,4.1995039262228016
Ef8,4.0,5.0,7.0,6.0,3.0,4.044727187265078
Ef9,4.0,5.0,7.0,5.0,3.0,3.757898282379934
Eg1,1.0,1.0,3.0,2.0,1.0,-1.672602306185637
Eg10,4.0,5.0,7.0,6.0,3.0,4.044727187265078
Eg14,2.0,1.0,7.0,3.0,3.0,1.0212092391255507
Eg2,4.0,5.0,7.0,6.0,3.0,4.044727187265078
Eg3,2.0,2.0,7.0,3.0,1.0,0.02585620152732262
Eg4,2.0,1.0,3.0,1.0,1.0,-1.5178255672279135
Eg5,3.0,5.0,6.0,5.0,3.0,3.153775395403227
Eg6,3.0,5.0,5.0,6.0,3.0,3.2780870571545315
Eg9,1.0,1.0,4.0,3.0,1.0,-1.2232561581666535
Eh1,1.0,1.0,2.0,1.0,1.0,-2.1219484542046203
Eh2,4.0,4.0,7.0,6.0,1.0,2.409464176767669
Eh3,2.0,4.0,7.0,6.0,1.0,1.5262528890819347
Eh4,1.0,1.0,2.0,1.0,1.0,-2.1219484542046203
Eh5,1.0,1.0,6.0,4.0,1.0,-0.6113927670138306
Eh6,4.0,5.0,7.0,6.0,3.0,4.044727187265078
Eh7,2.0,4.0,3.0,3.0,1.0,0.015697201891144617
Eh8,4.0,4.0,6.0,3.0,1.0,1.386460218978398
Eh9,3.0,4.0,7.0,5.0,1.0,1.6810296280396582
Ei1,2.0,2.0,7.0,3.0,1.0,0.02585620152732262
Ei11,1.0,2.0,7.0,3.0,1.0,-0.41574944231554467
Ei12,2.0,2.0,7.0,3.0,1.0,0.02585620152732262
Ei13,1.0,2.0,7.0,6.0,1.0,0.4447372723398869
Ei14,1.0,2.0,7.0,3.0,1.0,-0.41574944231554467
Ei16,1.0,4.0,7.0,3.0,1.0,0.22416053058363572
Ei18,2.0,2.0,7.0,3.0,1.0,0.02585620152732262
Ei19,2.0,4.0,7.0,3.0,1.0,0.665766174426503
Ei2,1.0,2.0,7.0,3.0,1.0,-0.41574944231554467
Ei3,4.0,5.0,7.0,6.0,3.0,4.044727187265078
Ei4,2.0,4.0,7.0,3.0,1.0,0.665766174426503
Ei5,2.0,4.0,7.0,3.0,1.0,0.665766174426503
Ei6,1.0,2.0,7.0,3.0,2.0,0.2419045697083645
Ei7,1.0,2.0,7.0,6.0,1.0,0.4447372723398869
Ei8,2.0,4.0,7.0,3.0,1.0,0.665766174426503
Ej1,1.0,2.0,7.0,3.0,1.0,-0.41574944231554467
Ej10,1.0,2.0,6.0,3.0,1.0,-0.5782666854493843
Ej11,3.0,4.0,6.0,6.0,3.0,3.1206493138387805
Ej12,2.0,4.0,7.0,3.0,3.0,1.9810741984743212
Ej13,3.0,4.0,5.0,6.0,3.0,2.958132070704941
